shipment_id,customer_id,origin,destination,status,create_ts
06e1f0cf-92ff-486f-a235-f2c0c6fb631c,0d515d08-aa4f-4ec0-ab97-41f4600ffba9,Deannafort,Kyleview,CREATED,2026-03-30 18:44:20.986309
a0ccf30b-0e99-4f18-945a-ccfd61dbd7fd,f76a6c53-9eed-41b5-ae9e-cc0f84beb2d8,North Sherryview,Victoriafurt,IN_TRANSIT,2026-03-30 18:44:20.986437
5ad744f0-0343-4b0a-a396-5e668143fabc,be9c1d2e-3dc3-4548-9584-e0b230400076,Josephstad,Hinesside,CREATED,2026-03-30 18:44:20.986615
923cf023-e88d-4568-9d12-ac12a4160007,ca44fc16-1ba2-41c2-8af5-17347a2ffbec,Thompsonshire,South Juliebury,DELIVERED,2026-03-30 18:44:20.986768
a2b71cb6-f1e9-4128-80c7-2efefbc6f91a,e65d8b7d-daff-45dd-8368-857f653baaf2,Stanleystad,Stanleyshire,IN_TRANSIT,2026-03-30 18:44:20.986923
24f983ce-fae5-49ba-b263-17130a2d999f,af087889-9134-42a1-99b8-714a8bc14eb0,West Terrancefurt,Lopezside,IN_TRANSIT,2026-03-30 18:44:20.987063
6be5ced4-50c7-42c3-819f-1c308eae3115,c735b425-847e-4481-83c4-b2222000ffeb,Lake Morgan,Suzanneview,CREATED,2026-03-30 18:44:20.987175
4fb71067-6acb-4b1d-acda-4e073fb965e7,0bbe6910-9cc3-4583-ba41-d21a88114547,Port Scott,East Robinstad,CREATED,2026-03-30 18:44:20.987289
aef520ef-18a8-4a68-9b49-4baaccbdab17,c8c5ef0a-d8b5-40fc-90d9-3f13af5ccb71,Richardfurt,South Dana,IN_TRANSIT,2026-03-30 18:44:20.987404
427eff1b-6745-453a-8b7a-91f542d14760,f8338767-fc95-4f31-b250-0bf94734af2e,Teresaview,Crystalstad,IN_TRANSIT,2026-03-30 18:44:20.987515
266b0532-5306-4aac-b803-8fc657559104,571c14dc-83a3-455f-b34b-3210c2096087,Shawville,East Evan,CREATED,2026-03-30 18:44:20.987648
d9ed2906-a983-41fe-acc9-90a62ed69985,9640dd0d-148d-4e58-905b-99cff3f3c00f,Peggyland,Ellistown,CREATED,2026-03-30 18:44:20.987780
9438f351-355e-47ff-9d9b-44591e539acc,8e1593fe-c491-432c-a7cf-101d7a60f29b,New Eddie,Rushbury,DELIVERED,2026-03-30 18:44:20.987923
e4c99494-b964-4146-a856-f66ece639e17,4083ca70-49ba-480e-9d16-86dec9f3a9c5,Lake David,Brownville,CREATED,2026-03-30 18:44:20.988055
49904030-9699-4582-bdad-243b8e8a6f4e,44215416-493c-4236-8329-9f367bd349e8,Lake Tonytown,New Danamouth,CREATED,2026-03-30 18:44:20.988171
e4a18698-d0b0-4f3b-b4c4-f7546aabb6e3,3c968f25-380e-4864-b315-e55d2d1fd9d8,Goodwintown,Millerton,IN_TRANSIT,2026-03-30 18:44:20.988320
39a5c86d-6252-4c04-8fe2-4c8d8975a8db,61ad0ee6-3c29-4669-ad35-600b5c0e55a5,South Samantha,Harrismouth,DELIVERED,2026-03-30 18:44:20.988450
